,Precision (1),Recall (1),F1 (1),ROC–AUC
GMM-full,0.08130699088145897,0.8699186991869918,0.1487143849895761,0.9707760184848714
GMM+CBU,0.04580479452054795,0.8699186991869918,0.08702724684831233,0.9631098661891949
Baseline,0.8494623655913979,0.6422764227642277,0.7314814814814815,0.9540780057275101
SMOTE,0.04580479452054795,0.8699186991869918,0.08702724684831233,0.9631098661891949
